applied date,job post date,Job Source,job title,customized resume?,response date,selected for interview?,Notes
8/29/2024,8/29/2024,Otta,Data Analyst,No,9/5/2024,No,
8/29/2024,8/29/2024,Otta,Senior Data Engineer,No,,,
8/29/2024,8/27/2024,Built In,Senior Data Analyst,No,,,
8/29/2024,8/29/2024,Built In,Data Analyst,No,9/25/2024,Yes,
8/29/2024,8/29/2024,Built In,Data Engineer,No,,,
8/31/2024,8/28/2024,LinkedIn,Data Analyst,No,,,
8/31/2024,8/30/2024,LinkedIn,Data Analyst,No,9/17/2024,No,
8/31/2024,8/27/2024,LinkedIn,Data Analyst,No,,,
8/31/2024,8/28/2024,LinkedIn,Sr. Business Intelligence Engineer,No,,,
8/31/2024,8/28/2024,LinkedIn,Analytics Engineer,No,,,
8/31/2024,8/30/2024,LinkedIn,Senior Data Analyst,No,,,
9/1/2024,8/28/2024,Career Buzz,"Project Data Engineer 2025 - Philadelphia, PA",No,9/2/2024,N/A,Withdrew application since it's not a fully remot eposition
9/3/2024,9/3/2023,LinkedIn,Data Engineer,No,,,
9/3/2024,8/23/2024,LinkedIn,Data Engineer,No,9/3/2024,No,Auto rejected because I don't live in CA
9/3/2024,8/31/2024,Built In,Data Analyst,No,9/19/2024,No,
9/3/2024,9/2/2024,Built In,Associate Data Scientist,No,9/28/2024,No,
9/3/2024,8/31/2024,Built In,Data Conversion Engineer,No,,,
9/3/2024,8/30/2024,LinkedIn,BI Analyst,No,,,
9/3/2024,8/31/2024,LinkedIn,BI Reporting Analyst,No,,,
9/3/2024,9/3/2024,LinkedIn,Technical Business Analyst,No,,,
9/5/2024,9/5/2024,LinkedIn,Business Analyst - Product Team,No,9/6/2024,No,
9/6/2024,9/5/2024,LinkedIn,Business Intelligence Analyst,No,,,
9/6/2024,9/5/2024,LinkedIn,Business Intelligence Developer,No,,,
9/7/2024,9/5/2024,Built In,Data Analyst,No,,,
9/7/2024,9/6/2024,Built In,Data Analyst,No,,,
9/7/2024,9/6/2024,Built In,Data Analytics Consultant #1655,No,9/16/2024,Yes,Not hired
9/7/2024,9/5/2024,Built In,Senior Analytics Engineer,No,,,
9/7/2024,9/5/2024,LinkedIn,Business Analyst,No,,,
9/7/2024,9/5/2024,LinkedIn,Senior Analytics Engineer,No,,,
9/7/2024,9/5/2024,LinkedIn,Business Intelligence Engineer II,No,,,
9/9/2024,9/7/2024,Remote Rocketship, Analytics Engineer,No,9/10/2024,No,
9/9/2024,9/5/2024,Remote Rocketship,Junior Data Engineer,No,,,
9/9/2024,9/5/2024,Remote Rocketship,Data Science Intern,No,,,
9/9/2024,8/29/2024,Otta,"Senior Data Analyst, Marketing (Remote)",No,10/11/2024,No,
9/9/2024,9/3/2024,Otta,Senior Data Analyst,No,,,
9/9/2024,9/8/2024,Otta,"Data Scientist, Capacity",No,,,
9/9/2024,9/8/2024,Otta,Analyst of Credit Risk - International Market,No,,,
9/10/2024,9/10/2024,Company Website,Data Engineer,No,10/2/2024,No,
9/10/2024,9/9/2024,Company Website,Business and Data Analyst,No,,,
9/10/2024,9/9/2024,Remote Rocketship,Business Analyst,No,,,
9/10/2024,9/10/2024,Remote Rocketship,Associate Data Scientist ,Yes,9/17/2024,No,
9/10/2024,9/10/2024,Remote Rocketship,Data Analyst,Yes,,,
9/10/2024,9/10/2024,Remote Rocketship,Data Analyst,No,,,
9/10/2024,9/10/2024,Remote Rocketship,Senior Data Analyst,Yes,,,not a custom resume but added a cv
9/10/2024,9/10/2024,LinkedIn,Data Analyst,No,,,
9/10/2024,9/6/2024,LinkedIn,Data Analyst IV (Contract),No,,,
9/10/2024,9/9/2024,Linkedin,Marketting Data Analyst,No,,,
9/10/2024,9/5/2024,Company Website,"data analyst, Global Business Services (Hybrid - Seattle)",No,10/4/2024,No,position no longer available
9/10/2024,9/9/2024,Built In,"Analyst, Value Analytics & Operations",No,,,
9/10/2024,9/9/2024,Built In,Senior Analytics Engineer,Yes,,,not a custom resume but added a cv
9/10/2024,9/3/2024,Wellfound,GreenChoice - Data Science Project ,No,,,
9/10/2024,9/3/2024,Wellfound,Data Science Intern,No,9/25/2024,Yes,"Declined the interview since I've already accepted another position, and this is just an internship"
9/10/2024,9/10/2024,Braintrust,Business Analyst,No,,,
9/10/2024,9/3/2024,Remote Woman,Data Analyst Business Intelligence,No,,,
9/10/2024,9/4/2024,Career Buzz,Software Engineer Intern (Summer 2025),No,,,
9/10/2024,9/5/2024,LinkedIn,Senior Analytics Engineer,No,,,
9/10/2024,9/9/2024,LinkedIn,Business Intelligence Analyst ,No,,,
9/10/2024,9/5/2024,LinkedIn,Data Analytics Engineer,No,,,
9/10/2024,9/10/2024,LinkedIn,"Sr. Data Analyst, Commercial Analytics",No,,,
9/10/2024,,Company Website,Early Career Data Scientist - AI for National Security Missions,No,,,
9/11/2024,9/5/2024,Otta,Senior Business Operation Analyst,No,,,
9/11/2024,9/11/2024,Otta,"Sr. Data Analyst, Payments",No,,,
9/11/2024,9/11/2024,Otta,Senior Data Analyst,No,,,
9/11/2024,9/11/2024,Otta,Data Engineer,No,,,
9/13/2024,,Company Website,Data Engineer,No,9/24/2024,No,
9/13/2024,9/12/2024,LinkedIn,BI Analyst,No,,,
9/13/2024,9/13/2024,LinkedIn,Senior Business Intelligence Analyst,No,,,
9/14/2024,9/13/2024,LinkedIn,Senior Data Analyst,No,9/24/2024,No,
9/14/2024,9/13/2024,LinkedIn,Data Analyst,No,,,
9/15/2024,9/13/2024,Remote Rocketship,Senior Analytics Engineer,Yes,,,
9/15/2024,9/13/2024,Remote Rocketship,Senior Data Analyst,No,,,
9/15/2024,9/13/2024,Remote Rocketship,Data Analyst,No,,,
9/15/2024,9/13/2024,Wellfound,Data Analyst,No,10/10/2024,No,
9/14/2024,9/14/2024,LinkedIn,,No,,,
